@RELATION data/GBSpeechv2
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {data/goodSpeech/,data/badSpeech/}

@DATA
0.065481,0.011642,3.018759,0.135431,0.172175,0.413647,0.009186,0.088365,-26.731467,1.951577,-0.661549,-0.137667,-0.170376,0.077525,-0.013591,0.026699,-0.082748,-0.002558,-0.110660,0.024902,-0.040888,0.014645,0.008178,0.032663,0.014700,0.021080,0.013976,0.026529,0.006554,0.010564,0.013823,0.016465,0.008581,0.019843,0.043658,0.008633,0.297740,0.049294,0.032667,0.379016,0.005819,0.077688,1.830532,0.655080,0.592543,0.390857,0.388088,0.304526,0.272743,0.249852,0.237655,0.223059,0.217306,0.208374,0.208680,0.015214,0.010042,0.024455,0.014879,0.018494,0.016093,0.021776,0.009500,0.012185,0.013955,0.015691,0.010500,0.009481,data/goodSpeech/
0.077314,0.006691,2.990963,0.135437,0.151158,0.656215,0.007972,0.120971,-26.572372,1.509593,0.018295,0.118073,-0.138212,0.111592,-0.191926,-0.187596,-0.096931,0.032273,-0.069840,0.077769,-0.002677,0.013084,0.004481,0.024462,0.015509,0.021270,0.017166,0.025770,0.004105,0.010945,0.012385,0.018982,0.006296,0.017575,0.045257,0.005600,0.307878,0.045480,0.027789,0.478626,0.005639,0.083205,1.990960,0.759110,0.655392,0.362340,0.383380,0.312962,0.309600,0.268510,0.254082,0.215584,0.218901,0.209631,0.205737,0.014303,0.004982,0.023307,0.019617,0.021895,0.020782,0.022505,0.005196,0.011935,0.011223,0.016941,0.006716,0.010493,data/goodSpeech/
0.057888,0.008935,3.022499,0.125532,0.162087,0.384526,0.014678,0.081631,-27.083332,2.257860,-0.091924,-0.028110,-0.257328,0.032553,-0.181106,-0.023156,-0.112699,-0.010229,-0.135981,-0.011894,-0.131447,0.025071,0.006018,0.023487,0.015163,0.020769,0.014887,0.025706,0.004309,0.011273,0.023577,0.023424,0.009004,0.025531,0.053317,0.007915,0.339765,0.053735,0.031707,0.456767,0.010695,0.093187,2.210925,0.797183,0.803695,0.462933,0.411476,0.359083,0.315005,0.300412,0.279806,0.254942,0.254878,0.251928,0.261645,0.029663,0.008844,0.025573,0.021240,0.025309,0.020028,0.025550,0.007603,0.014666,0.024480,0.025473,0.012499,0.013782,data/goodSpeech/
0.088814,0.008549,3.047185,0.161981,0.202817,0.491367,0.011189,0.136587,-27.138119,2.739914,0.292187,-0.115007,-0.071539,0.043522,-0.036177,0.020949,-0.037522,0.011141,-0.069793,0.042327,-0.025191,0.019646,0.005230,0.043283,0.017299,0.034715,0.015807,0.051820,0.002589,0.007786,0.011297,0.022137,0.005363,0.030309,0.060654,0.007217,0.259312,0.059335,0.037409,0.453147,0.008222,0.135233,1.837816,0.759775,0.676176,0.421644,0.388153,0.315406,0.298406,0.241381,0.247228,0.212596,0.214611,0.206051,0.205044,0.022399,0.007897,0.035831,0.021107,0.031978,0.021031,0.040917,0.004818,0.010721,0.011944,0.020633,0.007534,0.013512,data/goodSpeech/
0.077692,0.010001,3.079032,0.141126,0.156371,0.611951,0.009298,0.118892,-26.774029,1.189156,-0.368111,0.064429,-0.193988,0.051492,-0.212264,-0.118956,-0.151921,-0.086295,-0.183313,-0.034371,-0.141173,0.018558,0.006018,0.019994,0.015100,0.015914,0.013093,0.016566,0.004906,0.009772,0.013375,0.019113,0.007168,0.018950,0.052477,0.009715,0.278670,0.050726,0.029255,0.481106,0.005953,0.090586,2.168784,0.784828,0.772228,0.487652,0.423754,0.351042,0.322745,0.299091,0.277688,0.282090,0.289377,0.287441,0.294546,0.023678,0.008024,0.022556,0.020067,0.019790,0.018188,0.017698,0.006981,0.012852,0.015524,0.022009,0.009491,0.011672,data/goodSpeech/
0.077770,0.014019,3.103916,0.161399,0.192570,0.500558,0.014212,0.115788,-26.503890,1.815221,-0.414479,-0.217725,-0.314534,-0.065426,-0.241111,-0.205557,-0.065812,-0.105176,-0.023476,-0.027090,-0.011356,0.014999,0.007127,0.023744,0.016580,0.024596,0.018229,0.021703,0.005136,0.012240,0.012907,0.021351,0.010116,0.025176,0.066570,0.010319,0.278324,0.071851,0.037950,0.529572,0.011105,0.128387,1.781651,0.778407,0.709356,0.506395,0.389234,0.371176,0.355872,0.393314,0.400750,0.391775,0.387214,0.345720,0.306429,0.019713,0.011485,0.026029,0.023415,0.030688,0.027333,0.024840,0.009794,0.018695,0.017712,0.021664,0.014692,0.013504,data/goodSpeech/
0.069485,0.020911,2.990412,0.133621,0.166234,0.464865,0.010588,0.090847,-26.981847,1.988608,-0.858409,-0.464909,-0.654951,0.400729,0.196753,-0.205672,-0.078469,0.149880,-0.072048,0.068992,-0.043623,0.010979,0.005474,0.025078,0.012168,0.028920,0.014864,0.025060,0.009142,0.008421,0.009871,0.015331,0.009088,0.018854,0.040167,0.022456,0.315636,0.038475,0.030847,0.379486,0.007528,0.067747,1.754627,0.629776,0.650349,0.409918,0.404336,0.300890,0.305617,0.249046,0.232854,0.200613,0.203932,0.176615,0.181491,0.009947,0.007481,0.021476,0.014418,0.027139,0.018452,0.022999,0.013414,0.010133,0.009814,0.014829,0.009996,0.009647,data/goodSpeech/
0.063591,0.008737,3.045774,0.122103,0.155800,0.448275,0.012469,0.096121,-27.188301,1.766413,-0.469350,0.104852,-0.297267,0.263962,-0.073181,-0.005407,-0.122419,0.017869,-0.096349,-0.045656,-0.134078,0.020565,0.006394,0.024158,0.012671,0.015339,0.011251,0.025444,0.006192,0.009103,0.019044,0.023272,0.008011,0.020699,0.042429,0.008927,0.327590,0.044996,0.033762,0.401008,0.008840,0.074977,2.115095,0.726321,0.724862,0.386707,0.397864,0.309538,0.296214,0.254649,0.249486,0.241365,0.259152,0.247341,0.253822,0.025222,0.008658,0.024437,0.016232,0.017017,0.014002,0.025349,0.009312,0.011318,0.021184,0.025193,0.010604,0.011406,data/goodSpeech/
0.077987,0.001818,2.969809,0.148141,0.165133,0.653328,0.010408,0.110680,-31.366859,1.969753,0.496737,-0.522685,-0.056171,0.066676,-0.290086,-0.093444,-0.078026,-0.008953,-0.122282,-0.052344,-0.160201,0.018794,0.006966,0.027417,0.014515,0.015078,0.014894,0.038844,0.003765,0.009921,0.017524,0.021013,0.007984,0.023290,0.055026,0.002135,0.352125,0.051259,0.028205,0.497320,0.007869,0.097946,2.742418,0.815351,0.719633,0.428583,0.435375,0.330495,0.285968,0.273801,0.253795,0.239415,0.239773,0.229196,0.237492,0.022735,0.010450,0.026328,0.018439,0.018550,0.019751,0.033428,0.006402,0.013558,0.018031,0.021523,0.011520,0.012457,data/goodSpeech/
0.068572,0.006428,3.014531,0.139749,0.168162,0.419755,0.010258,0.095751,-28.277774,2.148484,-0.507022,0.052658,-0.132592,0.226191,-0.197723,-0.004540,-0.047504,-0.056223,-0.097256,0.030895,-0.101445,0.016500,0.006114,0.028914,0.012559,0.015171,0.012673,0.036808,0.005140,0.010882,0.019496,0.022642,0.006979,0.021750,0.056404,0.007887,0.320544,0.057189,0.027223,0.439868,0.006947,0.100271,2.082652,0.753268,0.701525,0.473618,0.395297,0.343078,0.312450,0.272054,0.249663,0.239524,0.236567,0.229599,0.238540,0.019331,0.008087,0.025069,0.015080,0.015692,0.015617,0.032350,0.007758,0.013132,0.019323,0.022044,0.009370,0.011206,data/goodSpeech/
